,subject,comp-rate,actual-val
0,CAH01-01-02,0.75,70.49
1,CAH01-01-04,0.81,71.93
2,CAH02-02-01,0.74,75.02
3,CAH02-05-03,0.7,71.97
4,CAH02-05-04,0.71,72.51
5,CAH03-01-02,0.7,74.19
6,CAH03-01-04,0.75,73.62
7,CAH03-01-06,0.72,72.66
8,CAH03-01-07,0.77,70.04
9,CAH03-01-10,0.76,72.96
10,CAH03-02-01,0.7,77.67
11,CAH04-01-01,0.66,73.02
12,CAH07-01-01,0.67,73.05
13,CAH07-02-01,0.72,75.15
14,CAH07-04-02,0.74,73.68
15,CAH09-01-01,0.62,73.05
16,CAH10-01-02,0.71,68.48
17,CAH10-01-07,0.72,74.01
18,CAH10-01-08,0.69,71.21
19,CAH10-01-09,0.71,74.9
20,CAH11-01-01,0.66,69.93
21,CAH15-01-02,0.67,70.94
22,CAH15-01-04,0.67,73.12
23,CAH15-02-01,0.63,72.76
24,CAH15-03-01,0.65,72.57
25,CAH16-01-01,0.64,71.76
26,CAH17-01-04,0.64,76.01
27,CAH17-01-07,0.65,74.87
28,CAH17-01-08,0.66,75.78
29,CAH19-01-01,0.67,77.49
30,CAH19-01-05,0.68,77.2
31,CAH19-01-07,0.7,75.36
32,CAH19-04-01,0.71,75.94
33,CAH20-01-01,0.66,77.67
34,CAH20-01-02,0.67,73.75
35,CAH20-02-01,0.64,73.9
36,CAH20-02-02,0.74,80.85
37,CAH22-01-01,0.71,79.78
38,CAH22-01-02,0.77,73.33
39,CAH25-01-04,0.73,71.89
40,CAH25-02-02,0.71,74.7
41,CAH26-01-02,0.67,76.46
42,CAH26-01-03,0.65,75.45
43,CAH26-01-06,0.71,77.75
44,CAH04-01-04,0.69,68.42
45,CAH06-01-06,0.86,83.6
46,CAH11-01-04,0.69,68.77
47,CAH11-01-06,0.76,73.22
48,CAH11-01-08,0.74,72.53
49,CAH15-01-01,0.66,75.3
50,CAH17-01-01,0.67,74.59
51,CAH17-01-03,0.68,73.15
52,CAH17-01-05,0.75,76.48
53,CAH25-01-03,0.77,75.85
54,CAH03-01-03,0.72,74.61
55,CAH03-01-08,0.7,74.05
56,CAH06-01-01,0.79,72.25
57,CAH06-01-03,0.77,69.53
58,CAH07-01-02,0.7,74.08
59,CAH10-01-03,0.7,71.07
60,CAH11-01-03,0.71,73.48
61,CAH11-01-05,0.62,70.57
62,CAH15-01-03,0.66,70.34
63,CAH17-01-02,0.67,76.81
64,CAH19-01-03,0.66,78.1
65,CAH19-04-04,0.7,74.11
66,CAH24-01-05,0.66,73.23
67,CAH25-01-02,0.74,71.85
68,CAH25-02-03,0.75,73.54
69,CAH02-06-07,0.77,71.53
70,CAH02-06-06,0.79,70.83
71,CAH02-04-02,0.74,67.68
72,CAH02-04-04,0.8,66.34
73,CAH02-04-05,0.77,69.6
74,CAH02-04-07,0.75,68.83
75,CAH02-06-01,0.72,72.46
76,CAH02-06-03,0.75,76.92
77,CAH05-01-02,0.8,70.36
78,CAH13-01-01,0.77,74.33
79,CAH13-01-02,0.72,72.63
80,CAH15-04-01,0.75,74.28
81,CAH15-04-02,0.7,81.52
82,CAH17-01-06,0.74,77.08
83,CAH19-01-02,0.64,76.55
84,CAH25-02-01,0.73,69.12
85,CAH11-01-02,0.56,71.48
86,CAH15-04-03,0.72,79.09
87,CAH25-02-04,0.78,78.54
88,CAH25-01-01,0.76,79.46
89,CAH25-01-05,0.81,71.63
90,CAH04-01-02,0.69,71.48
91,CAH24-01-02,0.71,75.68
92,CAH24-01-03,0.79,76.89
93,CAH24-01-04,0.72,75.11
94,CAH02-02-03,0.75,73.11
95,CAH02-05-02,0.7,67.95
96,CAH03-01-01,0.65,73.95
97,CAH10-01-06,0.71,72.76
98,CAH11-01-07,0.73,73.36
99,CAH01-01-01,0.72,74.07
100,CAH02-05-01,0.8,70.19
101,CAH06-01-04,0.62,84.36
102,CAH06-01-05,0.73,75.04
103,CAH19-02-03,0.65,83.83
104,CAH19-04-06,0.63,68.48
105,CAH26-01-04,0.62,73.93
106,CAH07-04-04,0.6,75.87
107,CAH09-01-03,0.64,74.74
108,CAH10-01-04,0.72,69.73
109,CAH15-01-05,0.68,72.3
110,CAH19-04-02,0.74,73.5
111,CAH02-06-02,0.79,76.73
112,CAH04-01-05,0.7,72.42
113,CAH10-03-06,0.74,76.19
114,CAH26-01-01,0.71,77.23
115,CAH02-04-09,0.69,72.24
116,CAH04-01-03,0.72,71.44
117,CAH06-01-07,0.77,78.2
118,CAH10-01-01,0.7,73.25
119,CAH19-04-09,0.64,73.73
120,CAH02-04-01,0.67,72.18
121,CAH02-06-05,0.8,73.62
122,CAH10-03-02,0.74,75.66
123,CAH10-03-07,0.7,75.6
124,CAH13-01-04,0.72,74.52
125,CAH20-01-03,0.69,78.26
126,CAH20-01-05,0.66,78.81
127,CAH23-01-04,0.66,71.11
128,CAH06-01-08,0.87,76.28
129,CAH02-04-08,0.84,76.72
130,CAH10-03-01,0.74,85.31
131,CAH10-03-03,0.83,77.85
132,CAH13-01-03,0.85,76.53
133,CAH02-06-04,0.79,76.91
134,CAH23-01-03,0.61,71.51
135,CAH05-01-01,0.84,79.13
136,CAH19-04-03,0.73,73.84
137,CAH19-04-05,0.6,66.84
138,CAH23-01-01,0.53,76.66
139,CAH26-01-05,1.0,87.33
140,CAH02-04-06,0.78,72.86
141,CAH19-01-06,0.74,66.0
142,CAH10-01-10,0.61,83.02
143,CAH17-01-09,0.77,65.9
144,CAH19-04-08,0.6,72.91
145,CAH10-03-05,0.68,75.6
146,CAH19-04-07,0.63,72.16
147,CAH23-01-02,0.69,74.33
148,CAH01-01-03,0.79,70.57
149,CAH15-01-06,0.72,71.51
150,CAH02-02-02,0.65,71.0
151,CAH09-01-02,0.61,75.12
152,CAH24-01-01,0.8,70.51
153,CAH03-01-09,1.0,92.85
154,CAH10-03-04,0.68,72.19
155,CAH03-01-05,0.75,69.22
156,CAH07-04-01,0.53,79.93
157,CAH07-04-03,0.55,66.06
158,CAH19-02-04,0.77,81.44
159,CAH06-01-02,0.79,74.44
160,CAH10-01-05,0.69,78.93
